label,type,domain
1,gozi,mortiscontrastatim.com
1,corebot,cvyh1po636avyrsxebwbkn7.ddns.net
0,alexa,plasticbags.sa.com
0,alexa,mzltrack.com
0,alexa,miss-slim.ru
1,ranbyus,txumyqrubwutbb.cc
0,alexa,myhostingpack.com
1,symmi,ixekrihagimau.ddns.net
1,emotet,rjyuosmhfnaedlyg.eu
1,dircrypt,djqrmauttlloabj.com
1,ranbyus,tqbmiuywoywolsfev.com
1,matsnu,brothernerveplacebringconsult.com
0,alexa,download-by-satoshi.com
1,ranbyus,lrushteeoideiqbci.pw
1,simda,rycoquqawyw.eu
0,alexa,inthemiddlenashville.com
1,fobber,cdjimfjspm.com
1,pushdo,gasozjom.ru
0,alexa,quinua.jp
1,pushdo,dokbuxok.ru
0,alexa,calvado.com
0,alexa,maryland.com.pe
1,qadars,w2oagqg2cmwi.org
1,ranbyus,pxayfojidfskmlaqo.net
0,alexa,localdetrabalho.com.br
1,emotet,jhhokenniuywfnmm.eu
0,alexa,forexgroup.org
1,matsnu,screencatchdishtellproposed.com
0,alexa,btk-fh.de
0,alexa,saludnqn.gob.ar
0,alexa,kateisaiennkotu.com
0,alexa,caresole.com
0,alexa,cyberkey.in
0,alexa,jobsmart.fr
0,alexa,informations-documents.com
0,alexa,tomp3youtube.com
1,kraken,bqlqscpqwsh.dynserv.com
0,alexa,nintendoswitchnetwork.com
0,alexa,xmhouse.com
1,matsnu,balladoptwelladdinfluence.com
0,alexa,pk-sales.de
0,alexa,hpd-gr.ch
0,alexa,pattystamps.com
1,ramnit,vrnixstxftvpfo.com
0,alexa,nakajo.co.jp
1,nymaim,searched-cookie.net
0,alexa,naturalborncoder.com
0,alexa,wscu.com
1,symmi,eqsaadnus.ddns.net
1,nymaim,until-infant.ps
1,pykspa,guzcwufqbex.org
0,alexa,elpatagondomingo.cl
0,alexa,quena.pl
1,kraken,svneascvmk.mooo.com
0,alexa,jpjpidol.tumblr.com
0,alexa,cabicon.com
1,nymaim,woundfinger.ws
0,alexa,bankznews.com
1,tinba,mmggpwhxumpk.biz
0,alexa,stpetersburgfoodies.com
1,murofet,pksnprwyupqtsii.net
1,pushdo,dikeabok.ru
0,alexa,arriadha.net
1,fobber,skxxerflmw.com
1,qadars,kycmwawegm46.top
0,alexa,lefronc.blogspot.de
1,cryptolocker,xmambdaytivtt.biz
1,nymaim,slut-fans.sh
1,ramdo,qkgogwauessomcqa.org
0,alexa,koreayh.com
